clase,IoU_base,IoU_pheno,delta_IoU,F1_base,F1_pheno
Winter barley,0.7037,0.7318,0.0281,0.8261,0.8451
Leguminous fodder,0.4127,0.4282,0.0155,0.5842,0.5996
Mixed cereal,0.2915,0.307,0.0155,0.4514,0.4698
Winter durum wheat,0.6065,0.6209,0.0144,0.7551,0.7661
Winter rapeseed,0.8743,0.8875,0.0132,0.933,0.9404
Soybeans,0.6864,0.6977,0.0113,0.814,0.8219
Soft winter wheat,0.8014,0.8107,0.0092,0.8898,0.8954
Meadow,0.8613,0.8678,0.0066,0.9255,0.9292
Corn,0.8577,0.8641,0.0064,0.9234,0.9271
Sunflower,0.6824,0.6886,0.0062,0.8112,0.8156
Winter triticale,0.4164,0.4219,0.0055,0.588,0.5934
Orchard,0.5364,0.5393,0.003,0.6982,0.7007
Spring barley,0.544,0.5405,-0.0035,0.7047,0.7017
"Fruits, vegetables, flowers",0.4569,0.4516,-0.0053,0.6272,0.6222
Beet,0.8655,0.8568,-0.0087,0.9279,0.9229
Sorghum,0.2483,0.2391,-0.0092,0.3978,0.3859
Grapevine,0.7866,0.7754,-0.0112,0.8806,0.8735
Potatoes,0.5545,0.5268,-0.0278,0.7134,0.6901
