feature,importance,rank
EVI_fft_phase_2,0.026526432339374847,1
NDVI_fft_phase_2,0.022582932635775054,2
EVI_fft_phase_3,0.022360196635875566,3
EVI_fft_phase_1,0.020501500363195677,4
MCARI_p95,0.0195263500369831,5
NDWI_fft_phase_1,0.016265206488527716,6
NDMI_p75,0.01607892002060387,7
MSAVI2_min,0.015561015720913035,8
NDVI_fft_phase_1,0.01507893523590497,9
NDMI_p95,0.014842612295124125,10
CCCI_p75,0.013750636949679549,11
NDRE_p95,0.012704595420544406,12
NDWI_fft_phase_2,0.01253449778391672,13
NDVI_fft_phase_3,0.012011730096102135,14
PSRI_p95,0.011539403448405917,15
NBR_p75,0.011167590605770389,16
MCARI_p75,0.010987244421750716,17
GCVI_p95,0.010979881601763875,18
EVI_p95,0.010838781905613017,19
SAVI_std,0.010372846605783803,20
peak_doy,0.010094843768889911,21
NDMI_mean,0.009483927675507861,22
MSAVI2_std,0.009299539518158009,23
NDWI_std,0.009173348418242997,24
MCARI_p25,0.008988840315323623,25
NDWI_p05,0.008705028532222167,26
PSRI_p25,0.008355327770508408,27
SAVI_p95,0.008216856456979223,28
CCCI_p50,0.007873265763040286,29
NBR_p95,0.00786711587043328,30
MCARI_std,0.0076709754815699905,31
senescence_doy,0.007416219788347345,32
NDMI_p50,0.0074145649746174885,33
SAVI_max,0.007410537347067943,34
MSAVI2_max,0.007287075470724037,35
MSAVI2_p95,0.0071855431243699275,36
EVI_p75,0.007141692479187996,37
EVI_p25,0.006945494334636675,38
NBR_mean,0.006934831390721383,39
NDWI_fft_phase_3,0.006864131188977445,40
NDCI_p25,0.006844977891571548,41
NDRE_std,0.006811455549402492,42
SAVI_p25,0.006795813593197333,43
RENDVI_p95,0.006777982556394186,44
EVI_fft_amp_0,0.006764906956021576,45
PSRI_p50,0.006182624474568858,46
GCVI_p50,0.0059326571366239795,47
LAI_p95,0.00589400621081731,48
RENDVI_p75,0.005728835064299055,49
EVI_fft_amp_1,0.005690346102074989,50
FAPAR_p25,0.005676667231172511,51
EVI_std,0.005668952182681071,52
MCARI_p50,0.005637912678714899,53
NDWI_p50,0.00561121576697726,54
SAVI_p75,0.005607548013905324,55
MSAVI2_p25,0.005578960014781117,56
EVI_fft_amp_2,0.005547595328623511,57
MCARI_mean,0.005514397420160341,58
PSRI_p75,0.005390292036535546,59
NDCI_p95,0.005349725309375445,60
MCARI_max,0.005287673567210598,61
NDVI_p95,0.005274539999828599,62
NBR_std,0.005229132475688847,63
NDMI_std,0.005219034381945065,64
FAPAR_p50,0.005177689190273312,65
LAI_p25,0.005172049814501259,66
NDVI_fft_amp_2,0.005048503774534283,67
EVI_max,0.005041136228581474,68
NDCI_p50,0.005006435539508246,69
GCVI_p25,0.004997696696564951,70
LAI_std,0.00498433968343554,71
FAPAR_p95,0.0049586799105137335,72
TSAVI_p95,0.004939276481272774,73
MSAVI2_p75,0.004900105614725992,74
ndvi_auc,0.004884806637847464,75
NDRE_p75,0.004857879287198772,76
LAI_p50,0.004840878790067213,77
EVI_fft_amp_3,0.004830961568705065,78
TSAVI_std,0.004821493267862323,79
NDRE_p50,0.004772163244278471,80
SAVI_p50,0.004686786011556617,81
NDVI_fft_amp_1,0.004572043582043033,82
NBR_p05,0.004560479164385523,83
NDVI_std,0.004453611338079519,84
NDWI_p75,0.004427687765044966,85
TSAVI_p25,0.004386363146144091,86
NBR_p25,0.004370088298054368,87
MSAVI2_p50,0.0043536541598995695,88
PSRI_mean,0.004329921031407772,89
NDVI_p50,0.004328442575860103,90
NDWI_fft_amp_2,0.00424008118959445,91
NBR_p50,0.004221738539824149,92
NDMI_max,0.004220825194892781,93
NDVI_fft_amp_3,0.004167404049007959,94
PSRI_max,0.004159820068648844,95
NDWI_fft_amp_1,0.0041281149020769,96
CCCI_p25,0.004069017737584321,97
NDWI_fft_amp_3,0.004007417280207673,98
NDVI_fft_amp_0,0.003990167636869068,99
NDWI_fft_amp_0,0.0039853625087799775,100
GCVI_p75,0.003974095308926369,101
NDCI_p75,0.003972047318590037,102
PSRI_std,0.003965190100172522,103
NDWI_p25,0.003955337036487162,104
RENDVI_p50,0.003950692199640949,105
FAPAR_std,0.003922640994056706,106
FAPAR_p75,0.0037830916982447027,107
NDVI_p25,0.003749231087743016,108
CCCI_p95,0.003735053081728167,109
TSAVI_p50,0.0037188209248569084,110
NBR_min,0.0037141360740327914,111
PSRI_p05,0.0036436656614482867,112
EVI_p50,0.003551581441292939,113
RENDVI_std,0.003547847108050958,114
ndvi_slope_pre_peak,0.003520070804942952,115
SAVI_mean,0.0034979392938427807,116
CCCI_p05,0.0034953613964873857,117
NDRE_p25,0.0034837445808101708,118
NDWI_min,0.003469677516954756,119
TSAVI_p75,0.0033878095442308326,120
LAI_p75,0.0033421119333267566,121
NDMI_p25,0.0033337568010985835,122
NDCI_std,0.0033234844708332953,123
NDMI_p05,0.003317438246193356,124
GCVI_std,0.0032939610035096767,125
MSAVI2_mean,0.00327147032529852,126
NBR_max,0.003240107115434386,127
LAI_max,0.0031942107370518625,128
GCVI_max,0.0031382701514203223,129
NDVI_p75,0.003129103172871049,130
NDRE_max,0.003053750558821295,131
MCARI_min,0.003039576042764199,132
maturity_duration_days,0.00296135418140427,133
RENDVI_min,0.002944918577553757,134
NDRE_mean,0.002909344912750985,135
MCARI_p05,0.0028969751538721372,136
sog_doy,0.0028618583803608124,137
GCVI_p05,0.002820781553974683,138
NDCI_p05,0.002794125937398056,139
LAI_mean,0.0027880570375403107,140
NDWI_mean,0.002741225860398299,141
SAVI_p05,0.0027019843829000608,142
ndvi_slope_post_peak,0.0026969489296333306,143
NDWI_p95,0.0026959291795797813,144
GCVI_mean,0.0026115462617098757,145
RENDVI_p25,0.002608748965484593,146
NDCI_mean,0.002543244513720141,147
MSAVI2_p05,0.002495887136290129,148
EVI_mean,0.002462899546060745,149
NDVI_mean,0.002453410599540857,150
NDCI_max,0.0024489019349813674,151
TSAVI_p05,0.00240541505995042,152
FAPAR_p05,0.002386943193171416,153
LAI_p05,0.0023775076332310913,154
NDVI_p05,0.0023753329904750114,155
NDMI_min,0.0023750937400689592,156
FAPAR_max,0.002360342195217613,157
CCCI_std,0.0023441943073475523,158
RENDVI_mean,0.0023290685333061376,159
CCCI_max,0.002325635168361992,160
TSAVI_max,0.0023228045186473524,161
peak_value,0.002317993116135135,162
RENDVI_max,0.0022990012168035818,163
NDVI_max,0.002295575897206741,164
NDCI_min,0.00228890141931902,165
TSAVI_mean,0.002288009297953874,166
RENDVI_p05,0.0022776268915283325,167
NDRE_p05,0.002244883334508925,168
EVI_p05,0.0021673361832072937,169
NDWI_max,0.002091975371557484,170
FAPAR_mean,0.002033616657914536,171
GCVI_min,0.0019971333152148116,172
CCCI_mean,0.0019666633667778134,173
CCCI_min,0.001956134139697572,174
PSRI_min,0.0019193477423393775,175
NDRE_min,0.001790446756731684,176
EVI_min,0.0015005917369916861,177
NDVI_min,0.0014929334084701708,178
FAPAR_min,0.0014861354076595697,179
LAI_min,0.0014858703657430806,180
SAVI_min,0.0014566549982261757,181
TSAVI_min,0.0014365711263792152,182
NDVI_fft_phase_0,0.0,183
NDWI_fft_phase_0,0.0,184
EVI_fft_phase_0,0.0,185
