feature,importance,rank
MSAVI2_min,39.57731628417969,1
GCVI_p50,33.774688720703125,2
SAVI_std,33.54469680786133,3
TSAVI_p25,26.019739151000977,4
EVI_fft_phase_2,19.24216651916504,5
EVI_fft_phase_1,17.154438018798828,6
NDMI_p95,15.997797012329102,7
GCVI_p25,14.699633598327637,8
NDRE_p95,13.877607345581055,9
MCARI_p25,13.050877571105957,10
FAPAR_p95,12.893060684204102,11
CCCI_p75,12.739228248596191,12
MSAVI2_max,12.609601020812988,13
NDVI_fft_phase_2,12.540203094482422,14
NDMI_p75,12.464001655578613,15
EVI_p95,12.462494850158691,16
MCARI_p95,12.18404483795166,17
GCVI_p95,12.109721183776855,18
EVI_fft_phase_3,11.691269874572754,19
NDRE_std,11.519149780273438,20
NDWI_p75,10.202224731445312,21
NDWI_fft_phase_2,10.018329620361328,22
LAI_p95,9.98635196685791,23
SAVI_max,9.000699996948242,24
MSAVI2_p25,8.711821556091309,25
NDWI_p50,8.63709545135498,26
NDMI_mean,8.615453720092773,27
NDCI_p50,8.444097518920898,28
MSAVI2_std,8.382665634155273,29
PSRI_p95,8.110776901245117,30
NDVI_fft_phase_1,7.960474014282227,31
NDWI_p05,7.6658806800842285,32
MSAVI2_p50,7.450864791870117,33
SAVI_p25,7.425168037414551,34
NDWI_std,7.248549461364746,35
NDWI_fft_phase_1,7.09672212600708,36
PSRI_p75,7.072666645050049,37
EVI_p25,7.052134037017822,38
PSRI_p50,6.970797061920166,39
MCARI_p50,6.767122268676758,40
MCARI_p75,6.75881814956665,41
NDVI_p95,6.687220573425293,42
NDWI_p25,6.3952717781066895,43
NBR_p50,6.120933532714844,44
EVI_fft_amp_0,6.083626747131348,45
NDCI_p25,6.034459590911865,46
GCVI_p75,6.027210712432861,47
GCVI_mean,5.954658031463623,48
EVI_p50,5.892081260681152,49
peak_doy,5.839137077331543,50
PSRI_std,5.789369106292725,51
SAVI_p95,5.749323844909668,52
NDCI_p95,5.7060136795043945,53
MCARI_max,5.578651428222656,54
NDMI_p50,5.415500640869141,55
TSAVI_p95,5.316409587860107,56
NDCI_p75,5.30606746673584,57
PSRI_p25,5.214849948883057,58
NBR_p95,5.194222927093506,59
LAI_p50,5.150187015533447,60
NBR_min,5.137102127075195,61
TSAVI_max,5.081446170806885,62
NBR_p05,5.072288513183594,63
NDRE_p75,5.051964282989502,64
NDMI_std,5.044731616973877,65
SAVI_p50,5.015061378479004,66
NDVI_fft_phase_3,5.0112409591674805,67
ndvi_auc,4.9413909912109375,68
NDVI_fft_amp_3,4.921119213104248,69
EVI_fft_amp_2,4.8110857009887695,70
CCCI_p50,4.809358596801758,71
NBR_p25,4.777244567871094,72
TSAVI_mean,4.762909412384033,73
NDWI_fft_amp_0,4.71030855178833,74
NBR_std,4.670040130615234,75
EVI_fft_amp_3,4.4885077476501465,76
MCARI_std,4.470859050750732,77
NBR_mean,4.40303897857666,78
senescence_doy,4.363887310028076,79
EVI_std,4.35515022277832,80
EVI_fft_amp_1,4.277359962463379,81
NDVI_fft_amp_1,4.200665473937988,82
MSAVI2_mean,4.137510776519775,83
NDMI_max,4.129629135131836,84
LAI_p75,4.1213250160217285,85
NDWI_fft_amp_2,4.060598850250244,86
GCVI_std,4.051016807556152,87
TSAVI_std,4.046407699584961,88
MCARI_mean,3.9969229698181152,89
PSRI_mean,3.9686074256896973,90
MSAVI2_p95,3.9667038917541504,91
GCVI_max,3.8802998065948486,92
NDWI_fft_amp_1,3.8761751651763916,93
FAPAR_p25,3.875875473022461,94
NBR_p75,3.8026340007781982,95
NDWI_fft_phase_3,3.7888588905334473,96
NDMI_p25,3.7743301391601562,97
FAPAR_std,3.7575266361236572,98
NDVI_fft_amp_2,3.756871461868286,99
RENDVI_p95,3.731340169906616,100
SAVI_p75,3.667005777359009,101
FAPAR_p75,3.587887763977051,102
MSAVI2_p75,3.5575811862945557,103
EVI_p75,3.5400428771972656,104
FAPAR_min,3.5176210403442383,105
CCCI_p05,3.4598467350006104,106
NDVI_p75,3.458671808242798,107
NDVI_fft_amp_0,3.4411652088165283,108
NDWI_fft_amp_3,3.421891450881958,109
SAVI_mean,3.4118499755859375,110
PSRI_max,3.3874545097351074,111
RENDVI_p75,3.3723082542419434,112
LAI_mean,3.3570268154144287,113
