rank,feature,family,importance
1,EVI_fft_phase_2,spectral_index,0.004858918628378045
2,CCCI_p75,spectral_index,0.004565027326689216
3,EVI_fft_phase_1,spectral_index,0.004053034138567812
4,MCARI_p95,spectral_index,0.0033424117297321493
5,NDVI_fft_phase_2,spectral_index,0.003161328985170124
6,EVI_fft_phase_3,spectral_index,0.002980688463146543
7,NDWI_fft_phase_1,spectral_index,0.002778028952217546
8,NDCI_p50,spectral_index,0.002539693954371885
9,PSRI_p95,spectral_index,0.002495903447631484
10,NDVI_fft_phase_1,spectral_index,0.0024240069246197963
11,NDRE_p95,spectral_index,0.0024113076809139837
12,MSAVI2_min,spectral_index,0.0023044760489610155
13,NDWI_p50,spectral_index,0.002271411835039806
14,EVI_p25,spectral_index,0.0022601033164680448
15,NDVI_p50,spectral_index,0.002216081596361572
16,NDRE_p50,spectral_index,0.0022081568275283247
17,GCVI_p50,spectral_index,0.0021859417969949486
18,EVI_p95,spectral_index,0.0020942160645736852
19,MCARI_p25,spectral_index,0.0020608825352202704
20,MCARI_p50,spectral_index,0.001976232855423308
