feature,importance,rank
EVI_fft_phase_2,0.03168587792683696,1
CCCI_p75,0.025438079801277717,2
EVI_fft_phase_1,0.024245436765458383,3
EVI_fft_phase_3,0.020832016877146534,4
NDCI_p50,0.019787058863707442,5
MCARI_p95,0.019077163854274333,6
NDVI_fft_phase_2,0.018781459103260546,7
NDVI_p50,0.018474874743444197,8
NDWI_fft_phase_1,0.018447312083023106,9
NDRE_p50,0.018373910018411377,10
EVI_p95,0.01836070293741739,11
NDVI_fft_phase_1,0.017063901422740738,12
NDWI_p50,0.01635407024743303,13
NDRE_p95,0.016017112327969856,14
EVI_p25,0.015931348288443174,15
GCVI_p50,0.015758993951679713,16
SAVI_p95,0.015032811767737207,17
TSAVI_p50,0.014234177176245215,18
PSRI_p95,0.014196977972507421,19
LAI_p50,0.01413880159535806,20
PSRI_p75,0.013224042095857466,21
MCARI_p75,0.013043777120041533,22
NBR_p95,0.012510971291240477,23
MCARI_p50,0.012271438677972252,24
FAPAR_p50,0.012117339497311636,25
CCCI_p50,0.011849612530443896,26
RENDVI_p50,0.011636693362624321,27
RENDVI_p95,0.011427493711268473,28
SAVI_max,0.011081583762468884,29
MSAVI2_max,0.010936335924677723,30
NDMI_p95,0.010922028398736627,31
NBR_p05,0.010613101142635667,32
MCARI_p25,0.010555329262625084,33
NDRE_std,0.01055517512136029,34
MSAVI2_min,0.01050405077793713,35
SAVI_p50,0.010069493140559596,36
senescence_doy,0.009965339252182931,37
SAVI_std,0.009942455244186438,38
MSAVI2_p95,0.009152380630352178,39
NDMI_p75,0.009021684327270619,40
peak_doy,0.008805229509345704,41
NDVI_fft_phase_3,0.008392407054267439,42
NDWI_fft_phase_2,0.008180715183876367,43
EVI_p50,0.008087250709464429,44
FAPAR_mean,0.007745314215243675,45
EVI_std,0.00771701111078744,46
MSAVI2_p50,0.007697827217943861,47
NDWI_p05,0.007631708872295389,48
PSRI_p25,0.0072398657009879455,49
PSRI_mean,0.007178420638012457,50
NBR_std,0.007089617739429627,51
GCVI_p95,0.006544353094612151,52
MCARI_std,0.0064379881332812475,53
MSAVI2_std,0.00622003951556145,54
NBR_p25,0.006144696297692382,55
NDVI_fft_amp_0,0.006080648004134688,56
LAI_p95,0.006073139180539017,57
NBR_p75,0.006072526249599307,58
MSAVI2_mean,0.0056308909455226675,59
NDCI_p25,0.0054535879514317365,60
NDCI_mean,0.005304049222832,61
NBR_min,0.005299932350340387,62
NDVI_mean,0.005283502718042143,63
NDVI_p95,0.0052172656017928365,64
TSAVI_p95,0.004902601201497077,65
EVI_fft_amp_0,0.004776431010703187,66
NDMI_mean,0.004761222614207405,67
NDWI_std,0.00472643356335061,68
NDWI_p25,0.004642188996081578,69
FAPAR_p95,0.0045939418647011334,70
NDCI_p75,0.004590457940544774,71
NDMI_p50,0.00454655915559892,72
RENDVI_p75,0.004342496150087708,73
NDRE_p75,0.004243451962428762,74
MCARI_max,0.003970212621933126,75
EVI_max,0.0037827889127985195,76
MCARI_mean,0.003766848179932551,77
PSRI_p50,0.0037397700242293836,78
ndvi_auc,0.0037073171117352408,79
LAI_std,0.003706422488370195,80
SAVI_mean,0.003401467002777628,81
TSAVI_std,0.0033599570109184417,82
EVI_p75,0.003355055718410523,83
GCVI_p75,0.0033140412056104672,84
FAPAR_std,0.0032604623382802597,85
NDMI_std,0.0030883836522226224,86
NDVI_std,0.0030429502607898897,87
NDWI_fft_phase_3,0.003010421471760854,88
NDCI_p95,0.0030057932627625145,89
NDWI_p75,0.002996321520866154,90
EVI_fft_amp_2,0.0029494147685296197,91
RENDVI_std,0.0029174660339819193,92
sog_doy,0.002893322485429117,93
MSAVI2_p25,0.0028798726443702515,94
