feature,importance,rank
MSAVI2_min,40.292110443115234,1
SAVI_std,37.04740905761719,2
GCVI_p50,36.29055404663086,3
GCVI_p25,19.44410514831543,4
NDMI_p95,16.519302368164062,5
EVI_fft_phase_2,16.182722091674805,6
EVI_fft_phase_1,13.625907897949219,7
NDRE_p95,12.643606185913086,8
CCCI_p75,10.516152381896973,9
MCARI_p25,10.388991355895996,10
MCARI_p95,10.349632263183594,11
EVI_p95,10.179838180541992,12
NDWI_p05,9.799906730651855,13
NDVI_fft_phase_2,9.198037147521973,14
NDWI_fft_phase_2,9.001545906066895,15
EVI_fft_phase_3,8.625312805175781,16
LAI_p95,8.343027114868164,17
GCVI_p95,8.204593658447266,18
MSAVI2_max,8.145204544067383,19
SAVI_max,7.553671360015869,20
MSAVI2_p25,7.371409893035889,21
NDCI_p50,7.283905982971191,22
NDVI_p95,6.854866981506348,23
NDMI_p75,6.822118282318115,24
PSRI_p95,6.583721160888672,25
NDMI_mean,6.24524450302124,26
NDRE_std,6.190440654754639,27
MSAVI2_std,6.08686637878418,28
SAVI_p25,6.006082534790039,29
NDWI_fft_phase_1,5.819815635681152,30
NDWI_std,5.786374092102051,31
MSAVI2_p50,5.719034671783447,32
MCARI_p50,5.666723251342773,33
EVI_fft_amp_0,5.298130035400391,34
EVI_p25,4.768874168395996,35
GCVI_p75,4.5543694496154785,36
NBR_p50,4.527332305908203,37
MCARI_p75,4.493607997894287,38
peak_doy,4.485537528991699,39
NDMI_p50,4.4571757316589355,40
PSRI_std,4.432743549346924,41
GCVI_mean,4.392845153808594,42
NDVI_fft_phase_1,4.368464469909668,43
NBR_min,4.366931915283203,44
FAPAR_max,4.2331719398498535,45
EVI_p50,4.158140182495117,46
NDMI_std,4.111637115478516,47
PSRI_p75,4.077997207641602,48
NDWI_p25,4.015434741973877,49
NBR_p25,3.750462055206299,50
NDWI_p50,3.7288694381713867,51
NDRE_p75,3.689852237701416,52
SAVI_p50,3.6618757247924805,53
MCARI_max,3.621183156967163,54
PSRI_p50,3.6178038120269775,55
CCCI_p50,3.6058807373046875,56
EVI_fft_amp_2,3.5777950286865234,57
NDVI_fft_amp_1,3.5440478324890137,58
NDCI_p95,3.462820053100586,59
NDWI_fft_amp_0,3.406446695327759,60
NDVI_fft_phase_3,3.4058821201324463,61
PSRI_p25,3.207695960998535,62
NBR_p05,3.1598713397979736,63
SAVI_p95,3.150756597518921,64
EVI_fft_amp_3,3.1421213150024414,65
NBR_mean,3.112006664276123,66
