escena,parcela,clase_real,clase_predicha,acierto,ndvi_pico,fenologia
40039,40039_7223563,Beet,Corn,false,0.895,pico de vigor alto (NDVI 0.89) tardío; dinámica estacional marcada (amplitud 0.85)
40039,40039_7260261,Corn,Corn,true,0.861,pico de vigor alto (NDVI 0.86) tardío; dinámica estacional marcada (amplitud 0.82)
40039,40039_7281691,Corn,Corn,true,0.872,pico de vigor alto (NDVI 0.87) tardío; dinámica estacional marcada (amplitud 0.81)
40039,40039_15903124,Soft winter wheat,Soft winter wheat,true,0.842,pico de vigor alto (NDVI 0.84) a media temporada; dinámica estacional marcada (amplitud 0.79)
40039,40039_15895405,Beet,Beet,true,0.883,pico de vigor alto (NDVI 0.88) tardío; dinámica estacional marcada (amplitud 0.83)
40039,40039_10979882,Corn,Corn,true,0.893,pico de vigor alto (NDVI 0.89) tardío; dinámica estacional marcada (amplitud 0.86)
40005,40005_7333413,Soft winter wheat,Soft winter wheat,true,0.906,pico de vigor alto (NDVI 0.91) a media temporada; dinámica estacional marcada (amplitud 0.88)
40005,40005_7330237,Corn,Corn,true,0.855,pico de vigor alto (NDVI 0.85) a media temporada; dinámica estacional marcada (amplitud 0.82)
40005,40005_10988418,Corn,Corn,true,0.847,pico de vigor alto (NDVI 0.85) tardío; dinámica estacional marcada (amplitud 0.81)
40005,40005_10989047,Corn,Corn,true,0.859,pico de vigor alto (NDVI 0.86) tardío; dinámica estacional marcada (amplitud 0.83)
40005,40005_7310842,Soft winter wheat,Soft winter wheat,true,0.773,pico de vigor alto (NDVI 0.77) a media temporada; dinámica estacional marcada (amplitud 0.75)
40005,40005_7333651,Corn,Corn,true,0.816,pico de vigor alto (NDVI 0.82) tardío; dinámica estacional marcada (amplitud 0.80)
40175,40175_7235574,Meadow,Meadow,true,0.703,pico de vigor alto (NDVI 0.70) temprano; dinámica estacional marcada (amplitud 0.63)
40175,40175_7234054,Winter barley,Winter barley,true,0.827,pico de vigor alto (NDVI 0.83) a media temporada; dinámica estacional marcada (amplitud 0.79)
40175,40175_7275069,Corn,Corn,true,0.878,pico de vigor alto (NDVI 0.88) tardío; dinámica estacional marcada (amplitud 0.84)
40175,40175_7235571,Corn,Corn,true,0.786,pico de vigor alto (NDVI 0.79) tardío; dinámica estacional marcada (amplitud 0.76)
40175,40175_15901758,Soft winter wheat,Soft winter wheat,true,0.921,pico de vigor alto (NDVI 0.92) a media temporada; dinámica estacional marcada (amplitud 0.87)
40175,40175_15893644,Corn,Corn,true,0.837,pico de vigor alto (NDVI 0.84) tardío; dinámica estacional marcada (amplitud 0.79)
