clase,support,tsvit,utae,xgb,farslip_zs,Vote3,Vote4,Stack3,Stack4
Meadow,6128,0.91,0.777,0.861,0.25,0.913,0.912,0.902,0.902
Soft winter wheat,1584,0.892,0.59,0.754,0.029,0.888,0.886,0.892,0.893
Corn,2196,0.93,0.535,0.81,0.013,0.925,0.922,0.936,0.935
Winter barley,573,0.826,0.301,0.563,0.0,0.834,0.829,0.841,0.841
Winter rapeseed,387,0.936,0.507,0.827,0.0,0.938,0.937,0.935,0.935
Spring barley,198,0.667,0.0,0.289,0.0,0.66,0.654,0.642,0.644
Sunflower,313,0.773,0.019,0.595,0.0,0.791,0.788,0.799,0.802
Grapevine,2067,0.907,0.021,0.903,0.09,0.912,0.913,0.923,0.923
Beet,167,0.901,0.268,0.744,0.0,0.906,0.911,0.912,0.912
Winter triticale,214,0.513,0.187,0.371,0.0,0.519,0.519,0.631,0.633
Winter durum wheat,355,0.779,0.0,0.697,0.0,0.777,0.777,0.796,0.794
Fruits/veg/flowers,576,0.655,0.037,0.612,0.0,0.692,0.703,0.718,0.718
Potatoes,103,0.56,0.0,0.414,0.005,0.584,0.577,0.459,0.453
Leguminous fodder,660,0.509,0.0,0.409,0.065,0.523,0.529,0.532,0.532
Soybeans,209,0.864,0.134,0.702,0.005,0.866,0.866,0.865,0.865
Orchard,511,0.723,0.0,0.753,0.08,0.746,0.756,0.749,0.749
Mixed cereal,193,0.495,0.008,0.13,0.014,0.502,0.497,0.437,0.435
Sorghum,206,0.423,0.0,0.208,0.0,0.423,0.426,0.478,0.477
