k,macro_f1_topk,cumulative_support_share
1,0.9373368146214099,0.02325721153846154
2,0.9360421679747585,0.15522836538461537
3,0.9319692408849999,0.27944711538461536
4,0.9290654262389711,0.28948317307692306
5,0.9235673016210981,0.6577524038461539
6,0.9190306651383452,0.7529447115384615
7,0.911347459682918,0.7655048076923077
8,0.9029047902387113,0.7999399038461539
9,0.8911940122301871,0.81875
10,0.88161717771619,0.8400841346153847
11,0.8696734003571911,0.8707932692307693
12,0.8574061970234603,0.9054086538461539
13,0.8408648757525126,0.9173076923076923
14,0.8254106652597442,0.9301682692307692
15,0.8064840723754308,0.9698317307692308
16,0.7861268947750433,0.9822115384615384
17,0.7665068543116026,0.9938100961538462
18,0.7486144982078716,1.0
