class_id,name,f1_baseline,iou_baseline,f1_classweights,iou_classweights
1,Meadow,0.761,0.614,0.260,0.149
16,Orchard,0.516,0.348,0.238,0.135
8,Grapevine,0.489,0.324,0.477,0.313
3,Corn,0.464,0.302,0.198,0.110
2,Soft winter wheat,0.324,0.193,0.074,0.038
12,Fruits/vegetables/flowers,0.261,0.150,0.267,0.154
11,Winter durum wheat,0.138,0.074,0.143,0.077
18,Sorghum,0.000,0.000,0.105,0.056
14,Leguminous fodder,0.000,0.000,0.074,0.038
4,Winter barley,0.000,0.000,0.000,0.000
5,Winter rapeseed,0.000,0.000,0.000,0.000
6,Spring barley,0.000,0.000,0.000,0.000
7,Sunflower,0.000,0.000,0.000,0.000
9,Beet,0.000,0.000,0.000,0.000
10,Winter triticale,0.000,0.000,0.000,0.000
13,Potatoes,0.000,0.000,0.000,0.000
15,Soybeans,0.000,0.000,0.000,0.000
17,Mixed cereal,0.000,0.000,0.000,0.000
