dim,mean,std,min,max,abs_mean
dim_00,-0.1487,0.0661,-0.3234,0.182,0.15
dim_01,-0.1257,0.0583,-0.3751,0.1546,0.1265
dim_02,-0.1126,0.0724,-0.3291,0.2081,0.1194
dim_03,0.0095,0.0746,-0.2294,0.2384,0.0626
dim_04,0.0772,0.053,-0.1316,0.272,0.0811
dim_05,-0.01,0.0998,-0.3174,0.2913,0.0831
dim_06,0.2004,0.0595,-0.0705,0.428,0.2004
dim_07,0.0294,0.0611,-0.1855,0.3496,0.0526
dim_08,0.1478,0.059,-0.2068,0.3307,0.1481
dim_09,-0.0649,0.0471,-0.2479,0.1864,0.0696
dim_10,0.0009,0.0809,-0.2941,0.2738,0.0646
dim_11,-0.039,0.0869,-0.3078,0.2832,0.0772
dim_12,-0.1666,0.0424,-0.352,0.0253,0.1666
dim_13,0.0971,0.0467,-0.11,0.2915,0.0975
dim_14,-0.0426,0.0648,-0.3641,0.2131,0.0655
dim_15,0.086,0.0902,-0.2692,0.3316,0.1038
dim_16,-0.0946,0.0491,-0.2741,0.2339,0.0971
dim_17,0.089,0.0486,-0.1484,0.3282,0.0907
dim_18,0.0096,0.0688,-0.2979,0.325,0.0563
dim_19,0.0576,0.0976,-0.2075,0.4427,0.0906
dim_20,-0.074,0.0485,-0.3296,0.1664,0.0769
dim_21,-0.0895,0.0502,-0.3053,0.2089,0.0912
dim_22,0.0482,0.072,-0.1794,0.3111,0.066
dim_23,0.1497,0.0553,-0.0756,0.3092,0.1498
dim_24,0.1175,0.0605,-0.1939,0.2902,0.1191
dim_25,0.0039,0.0884,-0.258,0.3661,0.0718
dim_26,0.0741,0.0788,-0.2622,0.3229,0.0904
dim_27,-0.1068,0.0956,-0.4032,0.1651,0.114
dim_28,0.1655,0.082,-0.0711,0.4462,0.1655
dim_29,-0.034,0.0613,-0.2502,0.2114,0.057
dim_30,-0.0806,0.0823,-0.2911,0.2213,0.0983
dim_31,-0.0935,0.072,-0.273,0.2009,0.1021
dim_32,0.1132,0.069,-0.1342,0.3982,0.1156
dim_33,0.0562,0.0601,-0.1925,0.3674,0.067
dim_34,0.0023,0.0698,-0.247,0.2573,0.0578
dim_35,0.0955,0.0621,-0.2387,0.3204,0.0995
dim_36,-0.2047,0.0515,-0.4092,0.1886,0.2048
dim_37,-0.0326,0.0659,-0.2541,0.3193,0.0587
dim_38,-0.1061,0.0632,-0.3468,0.134,0.1079
dim_39,0.138,0.0808,-0.216,0.3683,0.1421
dim_40,0.0618,0.0884,-0.2637,0.3184,0.0905
dim_41,0.0473,0.0866,-0.204,0.3496,0.078
dim_42,0.0142,0.0638,-0.232,0.2351,0.0531
dim_43,-0.0678,0.0747,-0.3234,0.121,0.0804
dim_44,-0.0905,0.0866,-0.3435,0.2139,0.1035
dim_45,-0.0768,0.0907,-0.2887,0.3023,0.1027
dim_46,0.0032,0.071,-0.252,0.2326,0.0571
dim_47,-0.0322,0.0497,-0.3161,0.1854,0.0462
dim_48,0.1872,0.0654,-0.1607,0.4049,0.1879
dim_49,-0.0926,0.0717,-0.3416,0.1836,0.1064
dim_50,-0.1888,0.074,-0.4264,0.1696,0.1892
dim_51,0.1,0.0762,-0.1388,0.4423,0.1037
dim_52,0.0199,0.0532,-0.2243,0.255,0.0447
dim_53,-0.0997,0.0778,-0.2994,0.3162,0.1118
dim_54,0.2008,0.0493,-0.0269,0.3399,0.2008
dim_55,-0.0683,0.0757,-0.3536,0.1739,0.0822
dim_56,-0.0711,0.0484,-0.246,0.1724,0.0739
dim_57,-0.0716,0.0551,-0.2706,0.3408,0.0762
dim_58,-0.0604,0.0527,-0.2766,0.1551,0.07
dim_59,-0.0611,0.0825,-0.2945,0.213,0.0798
dim_60,0.0481,0.0726,-0.1789,0.2662,0.0726
dim_61,-0.1638,0.0513,-0.38,0.1501,0.1639
dim_62,-0.0484,0.0486,-0.2877,0.1485,0.0557
dim_63,-0.0913,0.0581,-0.279,0.2057,0.0948
