class_id,name,iou,f1
2,Soft winter wheat,0.42576421724504904,0.5972435162775194
3,Corn,0.2682625685123749,0.4230394796355726
5,Winter rapeseed,0.2304750935790383,0.37461155415777453
1,Meadow,0.22911369901870693,0.3728112365871855
9,Beet,0.19855271678007885,0.3313207904838633
16,Orchard,0.06777037970127767,0.12693811514089254
8,Grapevine,0.04815551529059439,0.09188620312176402
12,"Fruits, vegetables, flowers",0.04091547907485485,0.07861441182759568
4,Winter barley,0.038040888869854766,0.07329362316598334
15,Soybeans,0.020733632013033295,0.040624961033455115
11,Winter durum wheat,0.02012267866003653,0.039451487710219925
14,Leguminous fodder,0.01715299546280128,0.033727463890516736
6,Spring barley,0.016885928393005827,0.03321105725140836
10,Winter triticale,0.014314868376620516,0.028225689720059056
18,Sorghum,0.013844478157700237,0.0273108518238569
17,Mixed cereal,0.005565183901405739,0.011068768072923648
13,Potatoes,0.004069678989806785,0.008106367665441873
7,Sunflower,0.0037196701749105023,0.007411771006265731
