mask_fraction,n_timesteps_kept,feature_name,value,drift_from_baseline
0.0,30,NDVI_mean,0.17788911765956505,0.0
0.0,30,NDVI_std,0.27732750925358546,0.0
0.0,30,NDVI_min,-0.03859744166479895,0.0
0.0,30,NDVI_max,0.855110794158821,0.0
0.0,30,NDVI_p05,-0.02266031916999207,0.0
0.0,30,NDVI_p25,0.006398317540880778,0.0
0.0,30,NDVI_p50,0.01738587262922349,0.0
0.0,30,NDVI_p75,0.2746452103385477,0.0
0.0,30,NDVI_p95,0.7891499091062809,0.0
0.0,30,NDWI_mean,-0.009349089027665326,0.0
0.0,30,NDWI_std,0.14017981187240333,0.0
0.0,30,NDWI_min,-0.11649511045938821,0.0
0.0,30,NDWI_max,0.32930568421652145,0.0
0.0,30,NDWI_p05,-0.11225781074558852,0.0
0.0,30,NDWI_p25,-0.1041873533072124,0.0
0.0,30,NDWI_p50,-0.0817627827937581,0.0
0.0,30,NDWI_p75,0.04823014045683219,0.0
0.0,30,NDWI_p95,0.2979664334963617,0.0
0.0,30,EVI_mean,0.20857626890147812,0.0
0.0,30,EVI_std,0.24974339959764433,0.0
0.0,30,EVI_min,0.024523670049424753,0.0
0.0,30,EVI_max,0.8217361007839974,0.0
0.0,30,EVI_p05,0.02607831468378023,0.0
0.0,30,EVI_p25,0.051383926720729334,0.0
0.0,30,EVI_p50,0.06791235804713446,0.0
0.0,30,EVI_p75,0.28517518214451887,0.0
0.0,30,EVI_p95,0.7689972704740539,0.0
0.0,30,NDVI_fft_amp_0,0.18326410277193705,0.0
0.0,30,NDVI_fft_phase_0,0.0,0.0
0.0,30,NDVI_fft_amp_1,0.317351137193697,0.0
0.0,30,NDVI_fft_phase_1,-2.978291375622468,0.0
0.0,30,NDVI_fft_amp_2,0.20707687176835582,0.0
0.0,30,NDVI_fft_phase_2,0.36315901910365656,0.0
0.0,30,NDVI_fft_amp_3,0.09292316019362099,0.0
0.0,30,NDVI_fft_phase_3,-2.5767780312659156,0.0
0.0,30,NDWI_fft_amp_0,0.007342969015197201,0.0
0.0,30,NDWI_fft_phase_0,0.0,0.0
0.0,30,NDWI_fft_amp_1,0.16097566781781875,0.0
0.0,30,NDWI_fft_phase_1,-2.97501415144815,0.0
0.0,30,NDWI_fft_amp_2,0.10623938479590342,0.0
0.0,30,NDWI_fft_phase_2,0.3352291106904405,0.0
0.0,30,NDWI_fft_amp_3,0.042787475020281,0.0
0.0,30,NDWI_fft_phase_3,-2.596249222262238,0.0
0.0,30,EVI_fft_amp_0,0.21365798079551382,0.0
0.0,30,EVI_fft_phase_0,0.0,0.0
0.0,30,EVI_fft_amp_1,0.28477872301519075,0.0
0.0,30,EVI_fft_phase_1,-2.974614988398321,0.0
0.0,30,EVI_fft_amp_2,0.18622447797304115,0.0
0.0,30,EVI_fft_phase_2,0.3312349710596073,0.0
0.0,30,EVI_fft_amp_3,0.08480088051662207,0.0
0.0,30,EVI_fft_phase_3,-2.623186282947199,0.0
0.0,30,sog_doy,122.0,0.0
0.0,30,peak_doy,169.0,0.0
0.0,30,peak_value,0.855110794158821,0.0
0.0,30,senescence_doy,210.0,0.0
0.0,30,ndvi_auc,63.95181636831172,0.0
0.0,30,ndvi_slope_pre_peak,0.01269771815160428,0.0
0.0,30,ndvi_slope_post_peak,-0.014368290501493743,0.0
0.0,30,maturity_duration_days,38.0,0.0
0.2,24,NDVI_mean,0.18172647448246682,0.0038373568229017607
0.2,24,NDVI_std,0.2915008513739727,0.014173342120387233
0.2,24,NDVI_min,-0.03859744166479895,0.0
0.2,24,NDVI_max,0.855110794158821,0.0
0.2,24,NDVI_p05,-0.023676254847857965,0.0010159356778658944
0.2,24,NDVI_p25,0.004935783154252076,0.0014625343866287019
0.2,24,NDVI_p50,0.01738587262922349,0.0
0.2,24,NDVI_p75,0.24995140393960916,0.02469380639893856
0.2,24,NDVI_p95,0.8198117588337572,0.03066184972747632
0.2,24,NDWI_mean,-0.009717104072885568,0.0003680150452202418
0.2,24,NDWI_std,0.14744636560546576,0.007266553733062425
0.2,24,NDWI_min,-0.11649511045938821,0.0
0.2,24,NDWI_max,0.32930568421652145,0.0
0.2,24,NDWI_p05,-0.11281092056662313,0.0005531098210346114
0.2,24,NDWI_p25,-0.10636508853856043,0.002177735231348024
0.2,24,NDWI_p50,-0.08875774071182393,0.006994957918065842
0.2,24,NDWI_p75,0.033451962862268446,0.014778177594563742
0.2,24,NDWI_p95,0.31335798562861955,0.015391552132257846
0.2,24,EVI_mean,0.21459003472801055,0.00601376582653243
0.2,24,EVI_std,0.2620460329215997,0.012302633323955398
0.2,24,EVI_min,0.024523670049424753,0.0
0.2,24,EVI_max,0.8217361007839974,0.0
0.2,24,EVI_p05,0.02597990569364259,0.00009840899013763976
0.2,24,EVI_p25,0.05215811365118557,0.000774186930456236
0.2,24,EVI_p50,0.06791235804713446,0.0
0.2,24,EVI_p75,0.28258867931931847,0.0025865028252003985
0.2,24,EVI_p95,0.7957229744837195,0.026725704009665674
0.2,24,NDVI_fft_amp_0,0.1908685053319901,0.007604402560053042
0.2,24,NDVI_fft_phase_0,0.0,0.0
0.2,24,NDVI_fft_amp_1,0.32409117411640936,0.006740036922712356
0.2,24,NDVI_fft_phase_1,-2.8707889195937284,0.10750245602873942
0.2,24,NDVI_fft_amp_2,0.20141527040439727,0.005661601363958546
0.2,24,NDVI_fft_phase_2,0.6070569724152418,0.24389795331158526
0.2,24,NDVI_fft_amp_3,0.0842075166377091,0.008715643555911881
0.2,24,NDVI_fft_phase_3,-2.1328683671459263,0.44390966411998933
0.2,24,NDWI_fft_amp_0,0.004738614110412636,0.0026043549047845647
0.2,24,NDWI_fft_phase_0,0.0,0.0
0.2,24,NDWI_fft_amp_1,0.16500388598835347,0.004028218170534725
0.2,24,NDWI_fft_phase_1,-2.86018343365015,0.11483071779799969
0.2,24,NDWI_fft_amp_2,0.10243566120116915,0.0038037235947342707
0.2,24,NDWI_fft_phase_2,0.5768931277860304,0.24166401709558993
0.2,24,NDWI_fft_amp_3,0.0386942550209444,0.004093219999336595
0.2,24,NDWI_fft_phase_3,-2.159270101561502,0.4369791207007361
0.2,24,EVI_fft_amp_0,0.22291534455007025,0.009257363754556436
0.2,24,EVI_fft_phase_0,0.0,0.0
0.2,24,EVI_fft_amp_1,0.2912267058648948,0.006447982849704048
0.2,24,EVI_fft_phase_1,-2.8700650536686956,0.10454993472962526
0.2,24,EVI_fft_amp_2,0.18069633015299122,0.005528147820049928
0.2,24,EVI_fft_phase_2,0.563070443770901,0.23183547271129368
0.2,24,EVI_fft_amp_3,0.07519374167958136,0.009607138837040716
0.2,24,EVI_fft_phase_3,-2.16000218018571,0.46318410276148914
0.2,24,sog_doy,109.0,13.0
0.2,24,peak_doy,157.0,12.0
0.2,24,peak_value,0.855110794158821,0.0
0.2,24,senescence_doy,198.0,12.0
0.2,24,ndvi_auc,64.32877696852962,0.376960600217906
0.2,24,ndvi_slope_pre_peak,0.012692395337512067,5.322814092212358e-6
0.2,24,ndvi_slope_post_peak,-0.014605595059931375,0.0002373045584376319
0.2,24,maturity_duration_days,38.0,0.0
0.4,18,NDVI_mean,0.19142968181434497,0.013540564154779916
0.4,18,NDVI_std,0.2941852328499316,0.01685772359634613
0.4,18,NDVI_min,-0.03859744166479895,0.0
0.4,18,NDVI_max,0.855110794158821,0.0
0.4,18,NDVI_p05,-0.006585150569685332,0.01607516860030674
0.4,18,NDVI_p25,0.008841621328406976,0.002443303787526198
0.4,18,NDVI_p50,0.023507194754728428,0.006121322125504938
0.4,18,NDVI_p75,0.25084251994866785,0.023802690389879866
0.4,18,NDVI_p95,0.8381379002666943,0.04898799116041341
0.4,18,NDWI_mean,-0.002644971697272448,0.006704117330392879
0.4,18,NDWI_std,0.14751210933617778,0.007332297463774451
0.4,18,NDWI_min,-0.11005902949376704,0.006436080965621163
0.4,18,NDWI_max,0.32930568421652145,0.0
0.4,18,NDWI_p05,-0.10903994213104067,0.0032178686145478558
0.4,18,NDWI_p25,-0.10177027958085083,0.002417073726361574
0.4,18,NDWI_p50,-0.08000312349080256,0.0017596593029555324
0.4,18,NDWI_p75,0.03622259235471528,0.012007548102116905
